09-07-2020 16:39:53,	 9,	 9,	 9.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:53,	 9,	 9,	 9.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:53,	 9,	 9,	 9.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:53,	 8,	 8,	 8.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:54,	 8,	 8,	 8.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:54,	 8,	 8,	 8.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:54,	 8,	 8,	 8.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:54,	 0,	 0,	 0.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:55,	 0,	 0,	 8.881784197001252e-16,	 9,	 9,	 9.0	 
09-07-2020 16:39:55,	 0,	 0,	 -1.1102230246251565e-16,	 9,	 9,	 9.0	 
09-07-2020 16:39:55,	 0,	 0,	 -5.551115123125783e-17,	 8,	 8,	 8.0	 
09-07-2020 16:39:55,	 0,	 0,	 6.938893903907228e-18,	 8,	 8,	 8.0	 
09-07-2020 16:39:56,	 0,	 0,	 0.0,	 8,	 8,	 8.0	 
09-07-2020 16:39:56,	 0,	 0,	 0.0,	 8,	 8,	 8.0	 
09-07-2020 16:39:56,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:56,	 0,	 0,	 0.0,	 0,	 0,	 8.881784197001252e-16	 
09-07-2020 16:39:56,	 0,	 0,	 0.0,	 0,	 0,	 -1.1102230246251565e-16	 
09-07-2020 16:39:57,	 0,	 0,	 0.0,	 0,	 0,	 -5.551115123125783e-17	 
09-07-2020 16:39:57,	 0,	 0,	 0.0,	 0,	 0,	 6.938893903907228e-18	 
09-07-2020 16:39:57,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:57,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:58,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:58,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:58,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:58,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:59,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:59,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:59,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:59,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:00,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:00,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:00,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:00,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:01,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:01,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:01,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:01,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:02,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:02,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:02,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:02,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:02,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:03,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:03,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:03,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:03,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:04,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:04,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:04,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:04,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:05,	 -10,	 -10,	 -10.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:05,	 -10,	 -10,	 -10.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:05,	 -10,	 -10,	 -10.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:05,	 -10,	 -10,	 -10.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:06,	 -10,	 -10,	 -10.000000000000002,	 0,	 0,	 0.0	 
09-07-2020 16:40:06,	 -10,	 -10,	 -10.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:06,	 -10,	 -10,	 -10.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:06,	 -10,	 -10,	 -10.0,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:07,	 -10,	 -10,	 -10.0,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:07,	 -10,	 -10,	 -10.0,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:07,	 -10,	 -10,	 -10.0,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:07,	 -10,	 -10,	 -10.0,	 -10,	 -10,	 -10.000000000000002	 
09-07-2020 16:40:08,	 -10,	 -10,	 -10.0,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:08,	 -10,	 -10,	 -10.0,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:08,	 -10,	 -10,	 -10.0,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:08,	 -10,	 -10,	 -10.0,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:08,	 -9,	 -9,	 -9.0,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:09,	 -9,	 -9,	 -9.0,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:09,	 0,	 0,	 0.0,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:09,	 0,	 0,	 -8.881784197001252e-16,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:09,	 0,	 0,	 1.1102230246251565e-16,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:10,	 0,	 0,	 -2.7755575615628914e-17,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:10,	 0,	 0,	 6.938893903907228e-18,	 -10,	 -10,	 -10.0	 
09-07-2020 16:40:10,	 0,	 0,	 0.0,	 -9,	 -9,	 -9.0	 
09-07-2020 16:40:10,	 -2,	 -2,	 -2.0,	 -9,	 -9,	 -9.0	 
09-07-2020 16:40:11,	 -1,	 -1,	 -0.9999999999999998,	 -1,	 -1,	 -1.0	 
09-07-2020 16:40:11,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:11,	 0,	 0,	 -5.551115123125783e-17,	 0,	 0,	 1.1102230246251565e-16	 
09-07-2020 16:40:11,	 -2,	 -2,	 -2.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:12,	 -2,	 -2,	 -2.0,	 0,	 0,	 3.469446951953614e-18	 
09-07-2020 16:40:12,	 -1,	 -1,	 -1.0,	 0,	 0,	 -8.673617379884035e-19	 
09-07-2020 16:40:12,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:12,	 0,	 0,	 5.551115123125783e-17,	 0,	 0,	 0.0	 
09-07-2020 16:40:13,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:13,	 0,	 0,	 3.469446951953614e-18,	 0,	 0,	 0.0	 
09-07-2020 16:40:13,	 0,	 0,	 -8.673617379884035e-19,	 0,	 0,	 0.0	 
09-07-2020 16:40:13,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:14,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:14,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:14,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:14,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:14,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:15,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:15,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:15,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:15,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:16,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:16,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:16,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:16,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:17,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:17,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:17,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:17,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:18,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:18,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:18,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:18,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:19,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:19,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:19,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:20,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:20,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:20,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:20,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:21,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:40:21,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
