43951,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.022,	 0.031,	 -0.016,	 8.407,	 0.016,	 -0.029,	 -0.15,	 6.788	 
43951,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.013,	 -0.048,	 -0.037,	 8.394,	 -0.008,	 0.028,	 -0.152,	 6.593	 
44549,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.002,	 0.0,	 -0.029,	 8.303,	 0.032,	 0.0,	 -0.165,	 6.438	 
44550,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.026,	 -0.008,	 -0.039,	 8.264,	 -0.027,	 0.116,	 -0.026,	 6.295	 
44550,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.047,	 -0.102,	 -0.172,	 8.161,	 0.059,	 0.02,	 0.138,	 6.386	 
44550,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.004,	 0.067,	 -0.214,	 7.889,	 -0.068,	 0.234,	 0.444,	 6.684	 
44550,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.014,	 0.051,	 -0.073,	 7.72,	 0.003,	 -0.011,	 0.711,	 7.435	 
45149,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.02,	 0.0,	 0.158,	 7.681,	 -0.223,	 0.0,	 1.573,	 8.277	 
45149,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.024,	 -0.071,	 0.072,	 7.837,	 0.261,	 -0.803,	 0.61,	 9.78	 
45149,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.01,	 0.016,	 0.006,	 7.863,	 -0.048,	 0.136,	 -0.191,	 9.806	 
45149,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.014,	 -0.019,	 0.002,	 7.876,	 0.013,	 -0.036,	 -0.072,	 9.689	 
45149,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.009,	 0.032,	 0.018,	 7.876,	 -0.003,	 0.009,	 -0.104,	 9.573	 
45947,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.011,	 0.0,	 0.221,	 7.927,	 0.763,	 -0.0,	 -5.579,	 9.456	 
45947,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.004,	 -0.041,	 0.172,	 8.174,	 -0.929,	 2.747,	 -2.282,	 4.08	 
45947,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.009,	 -0.025,	 0.093,	 8.329,	 0.234,	 -0.599,	 0.296,	 3.692	 
45947,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.01,	 0.007,	 0.071,	 8.42,	 -0.088,	 0.242,	 -0.132,	 3.588	 
45947,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.008,	 -0.029,	 0.045,	 8.497,	 0.021,	 -0.074,	 0.07,	 3.627	 
46550,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.019,	 -0.0,	 0.114,	 8.523,	 -0.018,	 0.0,	 0.015,	 3.64	 
46550,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.027,	 -0.068,	 0.032,	 8.627,	 0.029,	 -0.064,	 -0.062,	 3.627	 
46550,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.007,	 0.03,	 -0.014,	 8.614,	 -0.008,	 0.04,	 -0.091,	 3.51	 
46550,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.005,	 0.003,	 0.025,	 8.627,	 -0.004,	 0.011,	 -0.029,	 3.446	 
46550,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.004,	 -0.014,	 0.011,	 8.653,	 0.001,	 -0.003,	 -0.019,	 3.42	 
47149,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.009,	 0.0,	 0.045,	 8.653,	 0.006,	 0.0,	 -0.182,	 3.394	 
47149,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.013,	 -0.031,	 0.008,	 8.692,	 -0.001,	 0.022,	 -0.155,	 3.187	 
47149,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.005,	 0.015,	 -0.011,	 8.679,	 -0.016,	 0.018,	 -0.106,	 3.031	 
47149,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.006,	 -0.004,	 0.003,	 8.679,	 0.029,	 -0.041,	 -0.133,	 2.902	 
47149,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.007,	 -0.026,	 -0.033,	 8.666,	 -0.018,	 0.064,	 -0.105,	 2.733	 
47742,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.005,	 0.0,	 0.008,	 8.601,	 0.024,	 0.0,	 -0.143,	 2.668	 
47742,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.012,	 -0.019,	 -0.015,	 8.601,	 -0.001,	 0.087,	 -0.038,	 2.539	 
47742,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.012,	 0.023,	 -0.011,	 8.575,	 -0.035,	 0.083,	 0.166,	 2.617	 
47742,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.015,	 -0.021,	 -0.007,	 8.575,	 0.028,	 -0.042,	 0.216,	 2.876	 
47742,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.009,	 0.032,	 0.007,	 8.562,	 -0.016,	 0.058,	 0.234,	 3.122	 
48351,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.002,	 0.0,	 0.068,	 8.601,	 -0.041,	 0.0,	 0.481,	 3.459	 
48352,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.005,	 -0.007,	 0.059,	 8.679,	 0.042,	 -0.149,	 0.302,	 3.964	 
48352,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.001,	 -0.027,	 0.019,	 8.731,	 -0.006,	 0.002,	 0.125,	 4.184	 
48352,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.008,	 -0.022,	 -0.039,	 8.718,	 -0.002,	 -0.02,	 0.103,	 4.326	 
48352,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.002,	 0.005,	 -0.058,	 8.653,	 0.008,	 -0.029,	 0.045,	 4.417	 
48938,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.012,	 0.0,	 -0.072,	 8.588,	 0.008,	 -0.0,	 0.021,	 4.443	 
48938,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.009,	 0.045,	 -0.018,	 8.523,	 -0.019,	 0.03,	 0.056,	 4.482	 
48938,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.02,	 0.011,	 0.048,	 8.549,	 0.022,	 -0.038,	 0.046,	 4.56	 
48938,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.021,	 -0.06,	 -0.012,	 8.588,	 -0.023,	 0.041,	 0.05,	 4.598	 
48938,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.004,	 0.015,	 -0.066,	 8.523,	 0.012,	 -0.044,	 0.046,	 4.676	 
49535,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.023,	 0.0,	 -0.023,	 8.459,	 0.002,	 -0.0,	 0.029,	 4.689	 
49536,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.003,	 0.084,	 0.078,	 8.472,	 -0.042,	 0.009,	 0.039,	 4.728	 
49536,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.016,	 0.096,	 0.294,	 8.692,	 0.068,	 -0.143,	 -0.121,	 4.715	 
49536,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.164,	 0.152,	 0.592,	 9.21,	 -0.081,	 0.103,	 -0.169,	 4.482	 
49536,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.121,	 -0.436,	 0.252,	 9.858,	 0.052,	 -0.188,	 -0.271,	 4.288	 
50157,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.079,	 -0.0,	 -0.631,	 9.741,	 0.135,	 0.0,	 -1.101,	 3.782	 
50157,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.086,	 0.283,	 -0.292,	 9.119,	 -0.166,	 0.487,	 -0.517,	 2.694	 
50157,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.01,	 -0.026,	 0.017,	 9.028,	 0.042,	 -0.112,	 -0.067,	 2.487	 
